id,URL,ns1:title,ns1:description,ns1:keywords,ns1:pres_category,ns1:agency,BOS Agency number,ns1:fog ,ns1:published,ns1:versions,ns1:licensing,ns1:type,ns1:inclusion,ns1:identifier,ns1:audience,ns1:coverage,ns1:language,ns1:publisher,BOS Publishing agency number,ns1:availability,ns1:mandate,ns1:owner,ns1:source,ns1:contributor,BOS contributing agency number,ns1:referenceslnsw,ns1:referencenswrecords,ns1:referencenla,ns1:containdata,ns1:current,ns1:featured,ns1:rights,ns1:filesize,ns1:rawfilesize,ns1:mimetype,ns1:pages,ns1:swfurl,ns1:processstate,ns1:workflowstate,ns1:previewurl,ns1:txturl,ns1:thumbnailurl,uid1,uid2,uid3,uid4,uid5,uid6,uid7,uid8,uid9,uid10,uid11,uid12,uid13,uid14,uid15,uid16,uid17,uid18,uid19,uid20,uid21,uid22,uid23,uid24,uid25,uid26,uid27,uid28,uid29
1937,http://publications.nsw.gov.au/pub/17c/3a5/17c3a584dc4f71f5fdd79673259acd5f96ebcc47/document.pdf,Administrative Decisions Tribunal New South Wales Annual Report 2008 – 2009,,,,,1935,,16/10/2009,,Attribution Creative Commons (cc by),Annual Report,30/06/2009,,Australians,New South Wales,English,,,,,,,,,,,,,,,"©State of New South Wales through the Administrative Decisions Tribunal, Attorney General's Department 2008",1M,1463546,application/pdf,62,http://publications.nsw.gov.au/pub/17c/3a5/17c3a584dc4f71f5fdd79673259acd5f96ebcc47/publication.swf,browseable,published,http://publications.nsw.gov.au/pub/17c/3a5/17c3a584dc4f71f5fdd79673259acd5f96ebcc47/preview.jpg,http://publications.nsw.gov.au/pub/17c/3a5/17c3a584dc4f71f5fdd79673259acd5f96ebcc47/publication.txt,http://publications.nsw.gov.au/pub/17c/3a5/17c3a584dc4f71f5fdd79673259acd5f96ebcc47/thumbnail.gif,17c3a584dc4f71f5fdd79673259acd5f96ebcc47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1790,http://publications.nsw.gov.au/pub/ec3/c35/ec3c35c26f8cb3ecc5d07dd736c4c61999fb07dc/document.pdf,Administrative Decisions Tribunal New South Wales Annual Report 2009-2010,,,,,1935,,15/10/2010,,Attribution Creative Commons (cc by),Annual Report,30/06/2010,,Australians,New South Wales,English,,,,,,,,,,,,,,,©State of New South Wales,1M,1295961,application/pdf,32,http://publications.nsw.gov.au/pub/ec3/c35/ec3c35c26f8cb3ecc5d07dd736c4c61999fb07dc/publication.swf,browseable,published,http://publications.nsw.gov.au/pub/ec3/c35/ec3c35c26f8cb3ecc5d07dd736c4c61999fb07dc/preview.jpg,http://publications.nsw.gov.au/pub/ec3/c35/ec3c35c26f8cb3ecc5d07dd736c4c61999fb07dc/publication.txt,http://publications.nsw.gov.au/pub/ec3/c35/ec3c35c26f8cb3ecc5d07dd736c4c61999fb07dc/thumbnail.gif,ec3c35c26f8cb3ecc5d07dd736c4c61999fb07dc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
699,http://publications.nsw.gov.au/pub/356/c8f/356c8ff0da3f30ccd4e48bffe2021456d93729e9/document.pdf,Ambulance Service of New South Wales Annual Report 2006/07,,,,,2486,Health,28/09/2007,,Attribution Creative Commons (cc by),Annual Report,29/08/2008,,Australians,New South Wales,English,,,,,,,,,,,,,,,©Ambulance Service of New South Wales 2007,3M,4092360,application/pdf,76,http://publications.nsw.gov.au/pub/356/c8f/356c8ff0da3f30ccd4e48bffe2021456d93729e9/publication.swf,browseable,published,,http://publications.nsw.gov.au/pub/356/c8f/356c8ff0da3f30ccd4e48bffe2021456d93729e9/publication.txt,http://publications.nsw.gov.au/pub/356/c8f/356c8ff0da3f30ccd4e48bffe2021456d93729e9/thumbnail.gif,356c8ff0da3f30ccd4e48bffe2021456d93729e9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1761,http://publications.nsw.gov.au/pub/fd7/752/fd7752d14aa3637265f6e8937fecc5f8fa2508d7/document.pdf,Annual Report Compliance Checklist,,,,,49,,2010,,Attribution Creative Commons (cc by),Checklist,31/12/2010,,Australians,New South Wales,English,,,,,,,,,,,,,,,©State of New South Wales,118K,120991,application/pdf,11,http://publications.nsw.gov.au/pub/fd7/752/fd7752d14aa3637265f6e8937fecc5f8fa2508d7/publication.swf,browseable,published,http://publications.nsw.gov.au/pub/fd7/752/fd7752d14aa3637265f6e8937fecc5f8fa2508d7/preview.jpg,http://publications.nsw.gov.au/pub/fd7/752/fd7752d14aa3637265f6e8937fecc5f8fa2508d7/publication.txt,http://publications.nsw.gov.au/pub/fd7/752/fd7752d14aa3637265f6e8937fecc5f8fa2508d7/thumbnail.gif,fd7752d14aa3637265f6e8937fecc5f8fa2508d7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1448,http://publications.nsw.gov.au/pub/78a/1b2/78a1b219683cf333461e269e1eba388c3ede14f9/document.pdf,Scientific Report of the Science and Public Programs Branch Annual Report 2008 – 2009,Plant Sciences ,,,Botanic Gardens Trust,,,2009,,Attribution Creative Commons (cc by),Annual Report,30/06/2009,,Australians,New South Wales,English,,,,,,,,,,,,,,,"©Botanic Gardens Trust, Sydney 2009",7M,8060461,application/pdf,88,http://publications.nsw.gov.au/pub/78a/1b2/78a1b219683cf333461e269e1eba388c3ede14f9/publication.swf,browseable,published,http://publications.nsw.gov.au/pub/78a/1b2/78a1b219683cf333461e269e1eba388c3ede14f9/preview.jpg,http://publications.nsw.gov.au/pub/78a/1b2/78a1b219683cf333461e269e1eba388c3ede14f9/publication.txt,http://publications.nsw.gov.au/pub/78a/1b2/78a1b219683cf333461e269e1eba388c3ede14f9/thumbnail.gif,78a1b219683cf333461e269e1eba388c3ede14f9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1856,http://publications.nsw.gov.au/pub/194/afc/194afc5a48fe90586d0632ffc3d32476ce7f9a64/document.pdf,Scientific Report of the Science and Public Programs Branch Annual Report 2009 – 2010,Plant Sciences ,,,Botanic Gardens Trust,,,2010,,Attribution Creative Commons (cc by),Annual Report,30/06/2010,,Australians,New South Wales,English,,,,,,,,,,,,,,,©State of New South Wales,7M,8241712,application/pdf,93,http://publications.nsw.gov.au/pub/194/afc/194afc5a48fe90586d0632ffc3d32476ce7f9a64/publication.swf,browseable,published,http://publications.nsw.gov.au/pub/194/afc/194afc5a48fe90586d0632ffc3d32476ce7f9a64/preview.jpg,http://publications.nsw.gov.au/pub/194/afc/194afc5a48fe90586d0632ffc3d32476ce7f9a64/publication.txt,http://publications.nsw.gov.au/pub/194/afc/194afc5a48fe90586d0632ffc3d32476ce7f9a64/thumbnail.gif,194afc5a48fe90586d0632ffc3d32476ce7f9a64,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1289,http://publications.nsw.gov.au/pub/642/b60/642b6059813d7374e4c93ebbf1a1194fe419ae20/document.pdf,Anti-Discrimination Board Annual Report 2001 – 2002,,,,,32,,28/09/2002,,Attribution Creative Commons (cc by),Annual Report,30/06/2009,,Australians,New South Wales,English,,,,,,,,,,,,,,,©State of New South Wales,402K,412249,application/pdf,42,http://publications.nsw.gov.au/pub/642/b60/642b6059813d7374e4c93ebbf1a1194fe419ae20/publication.swf,browseable,published,,http://publications.nsw.gov.au/pub/642/b60/642b6059813d7374e4c93ebbf1a1194fe419ae20/publication.txt,http://publications.nsw.gov.au/pub/642/b60/642b6059813d7374e4c93ebbf1a1194fe419ae20/thumbnail.gif,642b6059813d7374e4c93ebbf1a1194fe419ae20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290,http://publications.nsw.gov.au/pub/655/88e/65588e7218137c5882325c3de0c05a0f5a05b16a/document.pdf,Anti-Discrimination Board Annual Report 2002 – 2003,,,,,32,,2003,,Attribution Creative Commons (cc by),Annual Report,30/06/2009,,Australians,New South Wales,English,,,,,,,,,,,,,,,©State of New South Wales,264K,271259,application/pdf,33,http://publications.nsw.gov.au/pub/655/88e/65588e7218137c5882325c3de0c05a0f5a05b16a/publication.swf,browseable,published,http://publications.nsw.gov.au/pub/655/88e/65588e7218137c5882325c3de0c05a0f5a05b16a/preview.jpg,http://publications.nsw.gov.au/pub/655/88e/65588e7218137c5882325c3de0c05a0f5a05b16a/publication.txt,http://publications.nsw.gov.au/pub/655/88e/65588e7218137c5882325c3de0c05a0f5a05b16a/thumbnail.gif,65588e7218137c5882325c3de0c05a0f5a05b16a,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1296,http://publications.nsw.gov.au/pub/da3/2d4/da32d424609ed008f856a532ba026404cfe2a08a/document.pdf,Anti-Discrimination Board of New South Wales Annual Report 1999-2000,,,,,32,,27/09/2000,,Attribution Creative Commons (cc by),Annual Report,30/06/2009,,Australians,New South Wales,English,,,,,,,,,,,,,,,©State of New South Wales,2M,3055925,application/pdf,63,http://publications.nsw.gov.au/pub/da3/2d4/da32d424609ed008f856a532ba026404cfe2a08a/publication.swf,browseable,published,,http://publications.nsw.gov.au/pub/da3/2d4/da32d424609ed008f856a532ba026404cfe2a08a/publication.txt,http://publications.nsw.gov.au/pub/da3/2d4/da32d424609ed008f856a532ba026404cfe2a08a/thumbnail.gif,da32d424609ed008f856a532ba026404cfe2a08a,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,http://publications.nsw.gov.au/pub/4b3/ea4/4b3ea4084766611ca90f84bd1e870cbe628cf48d/document.pdf,Anti-Discrimination Board of New South Wales Annual Report 2000 – 2001,,,,,32,,28/09/2001,,Attribution Creative Commons (cc by),Annual Report,30/06/2010,,Australians,New South Wales,English,,,,,,,,,,,,,,,©State of New South Wales,2M,2980953,application/pdf,68,http://publications.nsw.gov.au/pub/4b3/ea4/4b3ea4084766611ca90f84bd1e870cbe628cf48d/publication.swf,browseable,published,,http://publications.nsw.gov.au/pub/4b3/ea4/4b3ea4084766611ca90f84bd1e870cbe628cf48d/publication.txt,http://publications.nsw.gov.au/pub/4b3/ea4/4b3ea4084766611ca90f84bd1e870cbe628cf48d/thumbnail.gif,4b3ea4084766611ca90f84bd1e870cbe628cf48d,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,http://publications.nsw.gov.au/pub/0e2/537/0e25376116911cf5f3c1df70e690ce25ab2ab1d5/document.pdf,Anti-Discrimination Board of NSW Annual Report 2009-10,,,,,32,,27/10/2010,,Attribution Creative Commons (cc by),Annual Report,30/06/2010,,Australians,New South Wales,English,,,,,,,,,,,,,,,©State of New South Wales,1M,1415337,application/pdf,40,http://publications.nsw.gov.au/pub/0e2/537/0e25376116911cf5f3c1df70e690ce25ab2ab1d5/publication.swf,browseable,published,http://publications.nsw.gov.au/pub/0e2/537/0e25376116911cf5f3c1df70e690ce25ab2ab1d5/preview.jpg,http://publications.nsw.gov.au/pub/0e2/537/0e25376116911cf5f3c1df70e690ce25ab2ab1d5/publication.txt,http://publications.nsw.gov.au/pub/0e2/537/0e25376116911cf5f3c1df70e690ce25ab2ab1d5/thumbnail.gif,0e25376116911cf5f3c1df70e690ce25ab2ab1d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,http://publications.nsw.gov.au/pub/819/690/8196907d6ac0703f87f1cc99bd4606bec3e6f259/document.pdf,Art Gallery of New South Wales Annual Report 2007,"Part 1, Part 2 – Appendices, Part 3 – Financial Statements",,,,106,Recreation and Culture,20/10/2007,,Attribution Creative Commons (cc by),Annual Report,29/08/2008,,Australians,New South Wales,English,,,,,,,,,,,,,,,©State of New South Wales,2M,2219222,application/pdf,57,http://publications.nsw.gov.au/pub/819/690/8196907d6ac0703f87f1cc99bd4606bec3e6f259/publication.swf,browseable,published,,http://publications.nsw.gov.au/pub/819/690/8196907d6ac0703f87f1cc99bd4606bec3e6f259/publication.txt,http://publications.nsw.gov.au/pub/819/690/8196907d6ac0703f87f1cc99bd4606bec3e6f259/thumbnail.gif,8196907d6ac0703f87f1cc99bd4606bec3e6f259,d4fdca190e25c4b19538059897a5609be18de6eb,81c68f4fb14ac93cec1c37cd99bb455c80e91ba5,,,,,,,,,,,,,,,,,,,,,,,,,,
1782,http://publications.nsw.gov.au/pub/534/8d8/5348d863b56487f668196d7d4c556f4365befa46/document.pdf,Art Gallery of New South Wales Annual Report 2009-10,,,,,106,Recreation and Culture,22/10/2010,,Attribution Creative Commons (cc by),Annual Report,30/06/2010,,Australians,New South Wales,English,,,,,,,,,,,,,,,©State of New South Wales,3M,3880342,application/pdf,88,http://publications.nsw.gov.au/pub/534/8d8/5348d863b56487f668196d7d4c556f4365befa46/publication.swf,browseable,published,http://publications.nsw.gov.au/pub/534/8d8/5348d863b56487f668196d7d4c556f4365befa46/preview.jpg,http://publications.nsw.gov.au/pub/534/8d8/5348d863b56487f668196d7d4c556f4365befa46/publication.txt,http://publications.nsw.gov.au/pub/534/8d8/5348d863b56487f668196d7d4c556f4365befa46/thumbnail.gif,5348d863b56487f668196d7d4c556f4365befa46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1257,http://publications.nsw.gov.au/pub/6a5/331/6a5331a539121fbaeb9c852f59e8bc7fe70ec784/document.pdf,Art Gallery of New South Wales Foundation Annual Report 2007-08,The Art Gallery of NSW Foundation is the Gallery's major acquisition fund and the umbrella philanthropic organisation for all the Gallery benefactor groups and funds.,,,Art Gallery of NSW Foundation,,,13/11/2008,,Attribution Creative Commons (cc by),Annual Report,30/06/2009,,Australians,New South Wales,English,,,,,,,,,,,,,,,©State of New South Wales,647K,662922,application/pdf,29,http://publications.nsw.gov.au/pub/6a5/331/6a5331a539121fbaeb9c852f59e8bc7fe70ec784/publication.swf,browseable,published,http://publications.nsw.gov.au/pub/6a5/331/6a5331a539121fbaeb9c852f59e8bc7fe70ec784/preview.jpg,http://publications.nsw.gov.au/pub/6a5/331/6a5331a539121fbaeb9c852f59e8bc7fe70ec784/publication.txt,http://publications.nsw.gov.au/pub/6a5/331/6a5331a539121fbaeb9c852f59e8bc7fe70ec784/thumbnail.gif,6a5331a539121fbaeb9c852f59e8bc7fe70ec784,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,http://publications.nsw.gov.au/pub/9a3/d13/9a3d131a4144e5ff26e9f808532638f08335fb9c/document.pdf,Art Gallery Society of New South Wales Annual Report 2009,"The Art Gallery Society of NSW was founded to support the Art Gallery of NSW. Incorporated as a not-for-profit company, it is a registered charity.",,,Art Gallery Society of NSW,,,16/03/2010,,Attribution Creative Commons (cc by),Annual Report,30/06/2009,,Australians,New South Wales,English,,,,,,,,,,,,,,,©State of New South Wales,809K,828468,application/pdf,22,http://publications.nsw.gov.au/pub/9a3/d13/9a3d131a4144e5ff26e9f808532638f08335fb9c/publication.swf,browseable,published,http://publications.nsw.gov.au/pub/9a3/d13/9a3d131a4144e5ff26e9f808532638f08335fb9c/preview.jpg,http://publications.nsw.gov.au/pub/9a3/d13/9a3d131a4144e5ff26e9f808532638f08335fb9c/publication.txt,http://publications.nsw.gov.au/pub/9a3/d13/9a3d131a4144e5ff26e9f808532638f08335fb9c/thumbnail.gif,9a3d131a4144e5ff26e9f808532638f08335fb9c,,,,,,,,,,,,,,,,,,,,,,,,,,,,
693,http://publications.nsw.gov.au/pub/0f2/018/0f201821c48d53b7a376daae81153a5c7b0b2963/document.pdf,Attorney General's Department of NSW Annual Report 2006-07,"Part 1, Part 2, Part 3, Part 4, Part 5",,,,4073,Law and Order,22/10/2007,,Attribution Creative Commons (cc by),Annual Report,29/08/2008,,Australians,New South Wales,English,,,,,,,,,,,,,,,"©State of New South Wales through the Attorney General's Department of NSW 2007, Australia",1M,1115960,application/pdf,20,,previewable,published,http://publications.nsw.gov.au/pub/0f2/018/0f201821c48d53b7a376daae81153a5c7b0b2963/preview.jpg,http://publications.nsw.gov.au/pub/0f2/018/0f201821c48d53b7a376daae81153a5c7b0b2963/publication.txt,http://publications.nsw.gov.au/pub/0f2/018/0f201821c48d53b7a376daae81153a5c7b0b2963/thumbnail.gif,0f201821c48d53b7a376daae81153a5c7b0b2963,f4cfef1630164ef5dca10504c90189783a005963,956f9b7cbe7dfad942137b38ae57888fb91931a7,c19e523471cceefd6d9676ebf69d12b5759d5fbf,091d9de9d8207e2e21d581ce8719fcf989f4981f,,,,,,,,,,,,,,,,,,,,,,,,
